Bahan Pangan,Ciri Fisik
Daun salam Varian-456,Tidak berlendir setelah lama (Ciri-456)
Daun bawang Varian-457,Tekstur lembek tak wajar (Ciri-457)
Mentimun Varian-458,Warna belang aneh (Ciri-458)
Sirup merah Varian-459,Tidak hancur saat diremas (Ciri-459)
Semangka Varian-460,Tekstur lembek tak wajar (Ciri-460)
Kopi susu Varian-461,Warna tidak alami (Ciri-461)
Kunyit Varian-462,Warna neon menyilaukan (Ciri-462)
Wortel Varian-463,Rasa pahit tidak wajar (Ciri-463)
Zucchini Varian-464,Tidak hancur saat diremas (Ciri-464)
Udang Varian-465,Warna neon menyilaukan (Ciri-465)
Bayam Varian-466,Tekstur keras abnormal (Ciri-466)
Paprika Varian-467,Rasa asam mencolok (Ciri-467)
Cengkeh Varian-468,Tekstur lembek tak wajar (Ciri-468)
Mangga Varian-469,Tekstur lembek tak wajar (Ciri-469)
Minuman soda Varian-470,Bau kimia menyengat (Ciri-470)
Bakso sapi Varian-471,Warna belang aneh (Ciri-471)
Semangka Varian-472,Tidak hancur saat diremas (Ciri-472)
Bakso sapi Varian-473,Tekstur lembek tak wajar (Ciri-473)
Salak Varian-474,Tetap segar aneh (Ciri-474)
Daun salam Varian-475,Bau deterjen (Ciri-475)
Pisang Varian-476,Tetap segar aneh (Ciri-476)
Labu siam Varian-477,Bau asam aneh (Ciri-477)
Pisang Varian-478,Warna belang aneh (Ciri-478)
Rambutan Varian-479,Warna neon menyilaukan (Ciri-479)
Strawberry Varian-480,Tidak hancur saat diremas (Ciri-480)
Teh kemasan Varian-481,Rasa pahit tidak wajar (Ciri-481)
Labu siam Varian-482,Tekstur lembek tak wajar (Ciri-482)
Alpukat Varian-483,Tekstur terlalu kenyal (Ciri-483)
Paprika Varian-484,Warna tidak alami (Ciri-484)
Daging kambing Varian-485,Rasa asin berlebih (Ciri-485)
Mentimun Varian-486,Bau kimia menyengat (Ciri-486)
Mangga Varian-487,Tidak berlendir setelah lama (Ciri-487)
Ikan patin Varian-488,Tidak hancur saat diremas (Ciri-488)
Air mineral Varian-489,Warna belang aneh (Ciri-489)
Nanas Varian-490,Rasa getir (Ciri-490)
Asparagus Varian-491,Bau kimia menyengat (Ciri-491)
Ikan tuna Varian-492,Tekstur lembek tak wajar (Ciri-492)
Wortel Varian-493,Tidak hancur saat diremas (Ciri-493)
Susu kedelai Varian-494,Rasa pahit tidak wajar (Ciri-494)
Terong Varian-495,Warna neon menyilaukan (Ciri-495)
Buncis Varian-496,Warna belang aneh (Ciri-496)
Mentimun Varian-497,Tekstur terlalu kenyal (Ciri-497)
Durian Varian-498,Warna tidak alami (Ciri-498)
Salak Varian-499,Bau busuk tersembunyi (Ciri-499)
Durian Varian-500,Bau asam aneh (Ciri-500)
Air mineral Varian-501,Tetap segar aneh (Ciri-501)
Salak Varian-502,Rasa asin berlebih (Ciri-502)
Minuman soda Varian-503,Tidak berlendir setelah lama (Ciri-503)
Brokoli Varian-504,Warna belang aneh (Ciri-504)
Kunyit Varian-505,Warna tidak alami (Ciri-505)
Sirsak Varian-506,Warna neon menyilaukan (Ciri-506)
Sirup cocopandan Varian-507,Rasa asin berlebih (Ciri-507)
Salak Varian-508,Rasa asin berlebih (Ciri-508)
Kangkung Varian-509,Tekstur licin tanpa lendir (Ciri-509)
Belimbing Varian-510,Tidak berlendir setelah lama (Ciri-510)
Asparagus Varian-511,Rasa pahit tidak wajar (Ciri-511)
Belimbing Varian-512,Tekstur terlalu kenyal (Ciri-512)
Buncis Varian-513,Rasa pahit tidak wajar (Ciri-513)
Kacang panjang Varian-514,Warna neon menyilaukan (Ciri-514)
Bakso sapi Varian-515,Warna tidak alami (Ciri-515)
Ikan salmon Varian-516,Tetap segar aneh (Ciri-516)
Seledri Varian-517,Rasa asam mencolok (Ciri-517)
Nugget ayam Varian-518,Bau kimia menyengat (Ciri-518)
Serai Varian-519,Bau kimia menyengat (Ciri-519)
Jus jeruk Varian-520,Bau busuk tersembunyi (Ciri-520)
Sosis ayam Varian-521,Tekstur lembek tak wajar (Ciri-521)
Daging sapi Varian-522,Warna belang aneh (Ciri-522)
Jus apel Varian-523,Tidak hancur saat diremas (Ciri-523)
Lobak Varian-524,Bau busuk tersembunyi (Ciri-524)
Strawberry Varian-525,Tekstur terlalu kenyal (Ciri-525)
Bakso ikan Varian-526,Tekstur lembek tak wajar (Ciri-526)
Alpukat Varian-527,Warna belang aneh (Ciri-527)
Kepiting Varian-528,Tetap segar aneh (Ciri-528)
Daun jeruk Varian-529,Bau asam aneh (Ciri-529)
Ikan lele Varian-530,Rasa asin berlebih (Ciri-530)
Labu siam Varian-531,Tetap segar aneh (Ciri-531)
Sirup merah Varian-532,Rasa pahit tidak wajar (Ciri-532)
Terong Varian-533,Warna neon menyilaukan (Ciri-533)
Jus jeruk Varian-534,Bau busuk tersembunyi (Ciri-534)
Tahu putih Varian-535,Tetap segar aneh (Ciri-535)
Buncis Varian-536,Rasa asin berlebih (Ciri-536)
Mentimun Varian-537,Warna belang aneh (Ciri-537)
Paprika Varian-538,Tekstur terlalu kenyal (Ciri-538)
Tempe Varian-539,Rasa asam mencolok (Ciri-539)
Asparagus Varian-540,Warna tidak alami (Ciri-540)
Belimbing Varian-541,Warna tidak alami (Ciri-541)
Jus apel Varian-542,Tidak hancur saat diremas (Ciri-542)
Rambutan Varian-543,Tekstur keras abnormal (Ciri-543)
Kopi susu Varian-544,Rasa asin berlebih (Ciri-544)
Tahu kuning Varian-545,Tekstur terlalu kenyal (Ciri-545)
Susu kedelai Varian-546,Tidak berlendir setelah lama (Ciri-546)
Jambu Varian-547,Tekstur lembek tak wajar (Ciri-547)
Sirup merah Varian-548,Warna tidak alami (Ciri-548)
Jinten Varian-549,Bau asam aneh (Ciri-549)
Sirsak Varian-550,Warna tidak alami (Ciri-550)
Ketumbar Varian-551,Bau asam aneh (Ciri-551)
Nanas Varian-552,Warna belang aneh (Ciri-552)
Air mineral Varian-553,Bau deterjen (Ciri-553)
Blueberry Varian-554,Tetap segar aneh (Ciri-554)
Minuman soda Varian-555,Rasa asin berlebih (Ciri-555)
Sawi Varian-556,Tetap segar aneh (Ciri-556)
Nangka Varian-557,Bau kimia menyengat (Ciri-557)
Manggis Varian-558,Rasa getir (Ciri-558)
Kopi susu Varian-559,Rasa pahit tidak wajar (Ciri-559)
Blueberry Varian-560,Tidak berlendir setelah lama (Ciri-560)
Daun salam Varian-561,Rasa asin berlebih (Ciri-561)
Durian Varian-562,Tetap segar aneh (Ciri-562)
Lengkuas Varian-563,Warna belang aneh (Ciri-563)
Sawi Varian-564,Tetap segar aneh (Ciri-564)
Seledri Varian-565,Rasa asam mencolok (Ciri-565)
Kunyit Varian-566,Tidak hancur saat diremas (Ciri-566)
Jinten Varian-567,Tetap segar aneh (Ciri-567)
Jus apel Varian-568,Warna belang aneh (Ciri-568)
Mangga Varian-569,Warna tidak alami (Ciri-569)
Asparagus Varian-570,Tekstur lembek tak wajar (Ciri-570)
Selada Varian-571,Tidak berlendir setelah lama (Ciri-571)
Pare Varian-572,Bau kimia menyengat (Ciri-572)
Nugget ayam Varian-573,Rasa asam mencolok (Ciri-573)
Alpukat Varian-574,Tekstur licin tanpa lendir (Ciri-574)
Lengkuas Varian-575,Tekstur keras abnormal (Ciri-575)
Pepaya Varian-576,Tekstur lembek tak wajar (Ciri-576)
Cengkeh Varian-577,Warna neon menyilaukan (Ciri-577)
Ikan patin Varian-578,Warna neon menyilaukan (Ciri-578)
Sawi Varian-579,Warna tidak alami (Ciri-579)
Selada Varian-580,Warna terlalu cerah (Ciri-580)
Sosis sapi Varian-581,Warna belang aneh (Ciri-581)
Anggur Varian-582,Rasa getir (Ciri-582)
Semangka Varian-583,Tidak berlendir setelah lama (Ciri-583)
Jahe Varian-584,Bau deterjen (Ciri-584)
Semangka Varian-585,Tidak hancur saat diremas (Ciri-585)
Kubis Varian-586,Tidak hancur saat diremas (Ciri-586)
Cengkeh Varian-587,Bau busuk tersembunyi (Ciri-587)
Kacang panjang Varian-588,Bau busuk tersembunyi (Ciri-588)
Strawberry Varian-589,Bau deterjen (Ciri-589)
Tempe Varian-590,Tekstur keras abnormal (Ciri-590)
Alpukat Varian-591,Rasa asin berlebih (Ciri-591)
Terong Varian-592,Rasa pahit tidak wajar (Ciri-592)
Bakso sapi Varian-593,Rasa asin berlebih (Ciri-593)
Kacang panjang Varian-594,Tekstur terlalu kenyal (Ciri-594)
Jinten Varian-595,Bau deterjen (Ciri-595)
Pare Varian-596,Tetap segar aneh (Ciri-596)
Sirup cocopandan Varian-597,Warna neon menyilaukan (Ciri-597)
Rambutan Varian-598,Tidak hancur saat diremas (Ciri-598)
Susu sapi Varian-599,Bau busuk tersembunyi (Ciri-599)
Mentimun Varian-600,Tekstur licin tanpa lendir (Ciri-600)
Lobak Varian-601,Tekstur licin tanpa lendir (Ciri-601)
Jinten Varian-602,Bau busuk tersembunyi (Ciri-602)
Nangka Varian-603,Bau asam aneh (Ciri-603)
Daging kambing Varian-604,Tekstur lembek tak wajar (Ciri-604)
Sirup cocopandan Varian-605,Tetap segar aneh (Ciri-605)
Jinten Varian-606,Warna terlalu cerah (Ciri-606)
Bakso sapi Varian-607,Warna terlalu cerah (Ciri-607)
Wortel Varian-608,Bau asam aneh (Ciri-608)
Kangkung Varian-609,Tetap segar aneh (Ciri-609)
Blueberry Varian-610,Warna tidak alami (Ciri-610)
Mie instan Varian-611,Bau asam aneh (Ciri-611)
Cengkeh Varian-612,Tekstur licin tanpa lendir (Ciri-612)
Ikan tuna Varian-613,Tekstur lembek tak wajar (Ciri-613)
Mie instan Varian-614,Rasa asin berlebih (Ciri-614)
Air mineral Varian-615,Rasa getir (Ciri-615)
Udang Varian-616,Tetap segar aneh (Ciri-616)
Melon Varian-617,Warna tidak alami (Ciri-617)
Minuman soda Varian-618,Tidak berlendir setelah lama (Ciri-618)
Sosis sapi Varian-619,Warna belang aneh (Ciri-619)
Nugget ayam Varian-620,Rasa asam mencolok (Ciri-620)
Kubis Varian-621,Rasa pahit tidak wajar (Ciri-621)
Blueberry Varian-622,Warna terlalu cerah (Ciri-622)
Semangka Varian-623,Warna neon menyilaukan (Ciri-623)
Mentimun Varian-624,Rasa asam mencolok (Ciri-624)
Nugget ayam Varian-625,Tidak hancur saat diremas (Ciri-625)
Bakso ikan Varian-626,Bau busuk tersembunyi (Ciri-626)
Mangga Varian-627,Rasa asam mencolok (Ciri-627)
Tahu putih Varian-628,Warna tidak alami (Ciri-628)
Tempe Varian-629,Tidak basi setelah 3 hari (Ciri-629)
Sosis sapi Varian-630,Warna tidak alami (Ciri-630)
Lobak Varian-631,Warna tidak alami (Ciri-631)
Jus jeruk Varian-632,Tidak hancur saat diremas (Ciri-632)
Nanas Varian-633,Bau busuk tersembunyi (Ciri-633)
Kubis Varian-634,Warna terlalu cerah (Ciri-634)
Kopi susu Varian-635,Tetap segar aneh (Ciri-635)
Jambu Varian-636,Warna belang aneh (Ciri-636)
Lobak Varian-637,Tekstur licin tanpa lendir (Ciri-637)
Blueberry Varian-638,Tidak hancur saat diremas (Ciri-638)
Bakso sapi Varian-639,Tidak berlendir setelah lama (Ciri-639)
Ikan tuna Varian-640,Warna tidak alami (Ciri-640)
Seledri Varian-641,Tekstur lembek tak wajar (Ciri-641)
Lengkuas Varian-642,Tekstur keras abnormal (Ciri-642)
Brokoli Varian-643,Tekstur lembek tak wajar (Ciri-643)
Alpukat Varian-644,Warna tidak alami (Ciri-644)
Brokoli Varian-645,Warna terlalu cerah (Ciri-645)
Mangga Varian-646,Rasa getir (Ciri-646)
Kacang panjang Varian-647,Bau busuk tersembunyi (Ciri-647)
Jus apel Varian-648,Rasa pahit tidak wajar (Ciri-648)
Durian Varian-649,Bau busuk tersembunyi (Ciri-649)
Seledri Varian-650,Tetap segar aneh (Ciri-650)
Mentimun Varian-651,Tekstur terlalu kenyal (Ciri-651)
Bakso sapi Varian-652,Bau deterjen (Ciri-652)
Daun salam Varian-653,Tidak hancur saat diremas (Ciri-653)
Teh kemasan Varian-654,Bau asam aneh (Ciri-654)
Kopi susu Varian-655,Warna terlalu cerah (Ciri-655)
Udang Varian-656,Tekstur lembek tak wajar (Ciri-656)
Mie basah Varian-657,Bau kimia menyengat (Ciri-657)
Serai Varian-658,Tekstur licin tanpa lendir (Ciri-658)
Daging ayam Varian-659,Bau busuk tersembunyi (Ciri-659)
Sawi Varian-660,Warna neon menyilaukan (Ciri-660)
Pare Varian-661,Warna neon menyilaukan (Ciri-661)
Melon Varian-662,Tidak berlendir setelah lama (Ciri-662)
Mie instan Varian-663,Rasa asam mencolok (Ciri-663)
Mangga Varian-664,Tekstur licin tanpa lendir (Ciri-664)
Sirup cocopandan Varian-665,Bau deterjen (Ciri-665)
Daging kambing Varian-666,Tidak basi setelah 3 hari (Ciri-666)
Sirup cocopandan Varian-667,Tidak basi setelah 3 hari (Ciri-667)
Jambu Varian-668,Rasa asam mencolok (Ciri-668)
Nanas Varian-669,Rasa asam mencolok (Ciri-669)
Susu sapi Varian-670,Bau busuk tersembunyi (Ciri-670)
Pare Varian-671,Tekstur lembek tak wajar (Ciri-671)
Brokoli Varian-672,Warna tidak alami (Ciri-672)
Jus apel Varian-673,Rasa getir (Ciri-673)
Daging kambing Varian-674,Tidak hancur saat diremas (Ciri-674)
Air mineral Varian-675,Tidak basi setelah 3 hari (Ciri-675)
Susu kedelai Varian-676,Bau kimia menyengat (Ciri-676)
Melon Varian-677,Tidak hancur saat diremas (Ciri-677)
Asparagus Varian-678,Rasa getir (Ciri-678)
Anggur Varian-679,Tekstur lembek tak wajar (Ciri-679)
Sirup cocopandan Varian-680,Rasa getir (Ciri-680)
Tahu putih Varian-681,Tidak basi setelah 3 hari (Ciri-681)
Kunyit Varian-682,Tekstur keras abnormal (Ciri-682)
Pisang Varian-683,Tekstur lembek tak wajar (Ciri-683)
Pisang Varian-684,Warna terlalu cerah (Ciri-684)
Paprika Varian-685,Rasa pahit tidak wajar (Ciri-685)
Ikan patin Varian-686,Bau busuk tersembunyi (Ciri-686)
Daging kambing Varian-687,Tidak berlendir setelah lama (Ciri-687)
Kubis Varian-688,Warna neon menyilaukan (Ciri-688)
Mangga Varian-689,Tidak basi setelah 3 hari (Ciri-689)
Tahu kuning Varian-690,Bau deterjen (Ciri-690)
Kepiting Varian-691,Tetap segar aneh (Ciri-691)
Sirsak Varian-692,Tekstur keras abnormal (Ciri-692)
Ikan lele Varian-693,Tidak hancur saat diremas (Ciri-693)
Daun salam Varian-694,Tidak berlendir setelah lama (Ciri-694)
Kepiting Varian-695,Rasa getir (Ciri-695)
Mie instan Varian-696,Warna neon menyilaukan (Ciri-696)
Lobak Varian-697,Tekstur lembek tak wajar (Ciri-697)
Tahu putih Varian-698,Warna neon menyilaukan (Ciri-698)
Labu siam Varian-699,Tidak basi setelah 3 hari (Ciri-699)
Daging kambing Varian-700,Bau kimia menyengat (Ciri-700)
Kacang panjang Varian-701,Tekstur lembek tak wajar (Ciri-701)
Jambu Varian-702,Rasa asam mencolok (Ciri-702)
Belimbing Varian-703,Tekstur licin tanpa lendir (Ciri-703)
Mie instan Varian-704,Tekstur lembek tak wajar (Ciri-704)
Mentimun Varian-705,Bau kimia menyengat (Ciri-705)
Cumi-cumi Varian-706,Bau deterjen (Ciri-706)
Blueberry Varian-707,Bau kimia menyengat (Ciri-707)
Pare Varian-708,Rasa asin berlebih (Ciri-708)
Susu kedelai Varian-709,Warna neon menyilaukan (Ciri-709)
Tomat Varian-710,Tekstur keras abnormal (Ciri-710)
Daging sapi Varian-711,Rasa pahit tidak wajar (Ciri-711)
Kubis Varian-712,Tekstur lembek tak wajar (Ciri-712)
Apel Varian-713,Bau busuk tersembunyi (Ciri-713)
Kubis Varian-714,Rasa getir (Ciri-714)
Wortel Varian-715,Rasa asam mencolok (Ciri-715)
Bakso ikan Varian-716,Bau kimia menyengat (Ciri-716)
Lengkuas Varian-717,Warna neon menyilaukan (Ciri-717)
Nugget ayam Varian-718,Rasa asam mencolok (Ciri-718)
Jinten Varian-719,Tidak basi setelah 3 hari (Ciri-719)
Buncis Varian-720,Bau asam aneh (Ciri-720)
Susu kedelai Varian-721,Tekstur terlalu kenyal (Ciri-721)
Tempe Varian-722,Tekstur licin tanpa lendir (Ciri-722)
Rambutan Varian-723,Bau asam aneh (Ciri-723)
Cengkeh Varian-724,Warna tidak alami (Ciri-724)
Ikan patin Varian-725,Warna tidak alami (Ciri-725)
Pare Varian-726,Tetap segar aneh (Ciri-726)
Wortel Varian-727,Rasa asin berlebih (Ciri-727)
Pisang Varian-728,Tekstur terlalu kenyal (Ciri-728)
Alpukat Varian-729,Warna terlalu cerah (Ciri-729)
Belimbing Varian-730,Warna belang aneh (Ciri-730)
Minuman soda Varian-731,Bau deterjen (Ciri-731)
Nanas Varian-732,Warna tidak alami (Ciri-732)
Minuman soda Varian-733,Rasa asin berlebih (Ciri-733)
Ikan tuna Varian-734,Warna terlalu cerah (Ciri-734)
Alpukat Varian-735,Rasa getir (Ciri-735)
Strawberry Varian-736,Rasa pahit tidak wajar (Ciri-736)
Bayam Varian-737,Rasa pahit tidak wajar (Ciri-737)
Jinten Varian-738,Bau kimia menyengat (Ciri-738)
Wortel Varian-739,Tekstur keras abnormal (Ciri-739)
Cumi-cumi Varian-740,Warna neon menyilaukan (Ciri-740)
Seledri Varian-741,Rasa pahit tidak wajar (Ciri-741)
Sawi Varian-742,Bau asam aneh (Ciri-742)
Daun salam Varian-743,Warna terlalu cerah (Ciri-743)
Daging kambing Varian-744,Bau busuk tersembunyi (Ciri-744)
Daun jeruk Varian-745,Rasa getir (Ciri-745)
Cengkeh Varian-746,Rasa asin berlebih (Ciri-746)
Nangka Varian-747,Tetap segar aneh (Ciri-747)
Terong Varian-748,Tekstur terlalu kenyal (Ciri-748)
Tahu putih Varian-749,Tekstur lembek tak wajar (Ciri-749)
Susu sapi Varian-750,Rasa getir (Ciri-750)
Jeruk Varian-751,Bau busuk tersembunyi (Ciri-751)
Sawi Varian-752,Warna neon menyilaukan (Ciri-752)
Ikan salmon Varian-753,Rasa getir (Ciri-753)
Udang Varian-754,Rasa asin berlebih (Ciri-754)
Tomat Varian-755,Warna belang aneh (Ciri-755)
Semangka Varian-756,Rasa asam mencolok (Ciri-756)
Apel Varian-757,Rasa pahit tidak wajar (Ciri-757)
Pepaya Varian-758,Tekstur terlalu kenyal (Ciri-758)
Daging ayam Varian-759,Rasa asin berlebih (Ciri-759)
Asparagus Varian-760,Bau busuk tersembunyi (Ciri-760)
Pisang Varian-761,Warna neon menyilaukan (Ciri-761)
Susu kedelai Varian-762,Warna tidak alami (Ciri-762)
Jeruk Varian-763,Bau busuk tersembunyi (Ciri-763)
Seledri Varian-764,Tidak berlendir setelah lama (Ciri-764)
Serai Varian-765,Warna tidak alami (Ciri-765)
Mangga Varian-766,Tidak basi setelah 3 hari (Ciri-766)
Terong Varian-767,Tidak hancur saat diremas (Ciri-767)
Paprika Varian-768,Rasa asin berlebih (Ciri-768)
Lobak Varian-769,Warna tidak alami (Ciri-769)
Tahu kuning Varian-770,Tidak basi setelah 3 hari (Ciri-770)
Asparagus Varian-771,Tekstur terlalu kenyal (Ciri-771)
Tomat Varian-772,Warna belang aneh (Ciri-772)
Lobak Varian-773,Rasa asin berlebih (Ciri-773)
Sirup cocopandan Varian-774,Bau asam aneh (Ciri-774)
Lengkuas Varian-775,Rasa asin berlebih (Ciri-775)
Lengkuas Varian-776,Tidak berlendir setelah lama (Ciri-776)
Blueberry Varian-777,Tekstur terlalu kenyal (Ciri-777)
Kacang panjang Varian-778,Warna neon menyilaukan (Ciri-778)
Kayu manis Varian-779,Warna neon menyilaukan (Ciri-779)
Apel Varian-780,Warna terlalu cerah (Ciri-780)
Sirup cocopandan Varian-781,Bau kimia menyengat (Ciri-781)
Sirsak Varian-782,Tidak berlendir setelah lama (Ciri-782)
Jus jeruk Varian-783,Tidak basi setelah 3 hari (Ciri-783)
Jeruk Varian-784,Warna neon menyilaukan (Ciri-784)
Blueberry Varian-785,Bau kimia menyengat (Ciri-785)
Tomat Varian-786,Rasa getir (Ciri-786)
Paprika Varian-787,Rasa asam mencolok (Ciri-787)
Kopi susu Varian-788,Tidak basi setelah 3 hari (Ciri-788)
Tahu putih Varian-789,Warna tidak alami (Ciri-789)
Ketumbar Varian-790,Bau kimia menyengat (Ciri-790)
Asparagus Varian-791,Bau deterjen (Ciri-791)
Ikan lele Varian-792,Tekstur terlalu kenyal (Ciri-792)
Daun jeruk Varian-793,Tekstur terlalu kenyal (Ciri-793)
Daun salam Varian-794,Warna belang aneh (Ciri-794)
Selada Varian-795,Tekstur lembek tak wajar (Ciri-795)
Terong Varian-796,Warna tidak alami (Ciri-796)
Sirup cocopandan Varian-797,Tetap segar aneh (Ciri-797)
Sirup merah Varian-798,Rasa getir (Ciri-798)
Daging kambing Varian-799,Warna neon menyilaukan (Ciri-799)
Kunyit Varian-800,Tidak basi setelah 3 hari (Ciri-800)
Daun bawang Varian-801,Rasa asin berlebih (Ciri-801)
Terong Varian-802,Bau kimia menyengat (Ciri-802)
Daun bawang Varian-803,Tekstur licin tanpa lendir (Ciri-803)
Ikan salmon Varian-804,Tekstur terlalu kenyal (Ciri-804)
Teh kemasan Varian-805,Warna neon menyilaukan (Ciri-805)
Zucchini Varian-806,Tidak hancur saat diremas (Ciri-806)
Daun bawang Varian-807,Warna terlalu cerah (Ciri-807)
Nangka Varian-808,Tidak basi setelah 3 hari (Ciri-808)
Belimbing Varian-809,Warna terlalu cerah (Ciri-809)
Ikan salmon Varian-810,Tekstur lembek tak wajar (Ciri-810)
Sawi Varian-811,Tetap segar aneh (Ciri-811)
Bakso ikan Varian-812,Tidak berlendir setelah lama (Ciri-812)
Bayam Varian-813,Rasa getir (Ciri-813)
Kunyit Varian-814,Tidak hancur saat diremas (Ciri-814)
Daging ayam Varian-815,Warna belang aneh (Ciri-815)
Kangkung Varian-816,Rasa getir (Ciri-816)
Apel Varian-817,Tekstur terlalu kenyal (Ciri-817)
Sirup cocopandan Varian-818,Warna belang aneh (Ciri-818)
Mie basah Varian-819,Rasa getir (Ciri-819)
Daging sapi Varian-820,Bau busuk tersembunyi (Ciri-820)
Udang Varian-821,Tekstur terlalu kenyal (Ciri-821)
Pare Varian-822,Bau deterjen (Ciri-822)
Daging ayam Varian-823,Warna terlalu cerah (Ciri-823)
Seledri Varian-824,Rasa pahit tidak wajar (Ciri-824)
Serai Varian-825,Warna terlalu cerah (Ciri-825)
Zucchini Varian-826,Tekstur terlalu kenyal (Ciri-826)
Lengkuas Varian-827,Warna tidak alami (Ciri-827)
Sawi Varian-828,Tetap segar aneh (Ciri-828)
Serai Varian-829,Rasa asam mencolok (Ciri-829)
Cengkeh Varian-830,Tekstur lembek tak wajar (Ciri-830)
Wortel Varian-831,Rasa asin berlebih (Ciri-831)
Seledri Varian-832,Rasa asam mencolok (Ciri-832)
Ikan salmon Varian-833,Warna belang aneh (Ciri-833)
Air mineral Varian-834,Bau busuk tersembunyi (Ciri-834)
Nangka Varian-835,Rasa asam mencolok (Ciri-835)
Asparagus Varian-836,Tekstur terlalu kenyal (Ciri-836)
Ikan tuna Varian-837,Tekstur lembek tak wajar (Ciri-837)
Blueberry Varian-838,Tetap segar aneh (Ciri-838)
Wortel Varian-839,Tekstur keras abnormal (Ciri-839)
Alpukat Varian-840,Warna neon menyilaukan (Ciri-840)
Cengkeh Varian-841,Rasa asam mencolok (Ciri-841)
Mentimun Varian-842,Bau deterjen (Ciri-842)
Serai Varian-843,Tidak berlendir setelah lama (Ciri-843)
Sawi Varian-844,Tidak basi setelah 3 hari (Ciri-844)
Nanas Varian-845,Rasa asam mencolok (Ciri-845)
Pare Varian-846,Bau deterjen (Ciri-846)
Sirup cocopandan Varian-847,Tekstur licin tanpa lendir (Ciri-847)
Pepaya Varian-848,Rasa asin berlebih (Ciri-848)
Nangka Varian-849,Bau deterjen (Ciri-849)
Ikan tuna Varian-850,Bau deterjen (Ciri-850)
Alpukat Varian-851,Rasa asin berlebih (Ciri-851)
Pisang Varian-852,Rasa pahit tidak wajar (Ciri-852)
Kubis Varian-853,Bau kimia menyengat (Ciri-853)
Sosis sapi Varian-854,Warna belang aneh (Ciri-854)
Daging ayam Varian-855,Rasa asam mencolok (Ciri-855)
Kubis Varian-856,Warna tidak alami (Ciri-856)
Air mineral Varian-857,Tekstur lembek tak wajar (Ciri-857)
Daun bawang Varian-858,Warna terlalu cerah (Ciri-858)
Pepaya Varian-859,Tekstur licin tanpa lendir (Ciri-859)
Strawberry Varian-860,Tidak basi setelah 3 hari (Ciri-860)
Bayam Varian-861,Tetap segar aneh (Ciri-861)
Kacang panjang Varian-862,Tekstur licin tanpa lendir (Ciri-862)
Salak Varian-863,Bau busuk tersembunyi (Ciri-863)
Alpukat Varian-864,Warna neon menyilaukan (Ciri-864)
Daging ayam Varian-865,Rasa getir (Ciri-865)
Rambutan Varian-866,Rasa getir (Ciri-866)
Kepiting Varian-867,Tetap segar aneh (Ciri-867)
Sosis sapi Varian-868,Bau asam aneh (Ciri-868)
Kunyit Varian-869,Rasa asin berlebih (Ciri-869)
Daging ayam Varian-870,Tidak basi setelah 3 hari (Ciri-870)
Zucchini Varian-871,Tetap segar aneh (Ciri-871)
Buncis Varian-872,Rasa asin berlebih (Ciri-872)
Minuman soda Varian-873,Warna neon menyilaukan (Ciri-873)
Jus jeruk Varian-874,Warna tidak alami (Ciri-874)
Serai Varian-875,Tekstur licin tanpa lendir (Ciri-875)
Anggur Varian-876,Rasa getir (Ciri-876)
Ikan lele Varian-877,Rasa asam mencolok (Ciri-877)
Tahu putih Varian-878,Tekstur keras abnormal (Ciri-878)
Sosis ayam Varian-879,Tekstur keras abnormal (Ciri-879)
Lobak Varian-880,Warna terlalu cerah (Ciri-880)
Kangkung Varian-881,Warna terlalu cerah (Ciri-881)
Apel Varian-882,Rasa pahit tidak wajar (Ciri-882)
Ikan lele Varian-883,Warna terlalu cerah (Ciri-883)
Nugget ayam Varian-884,Tidak hancur saat diremas (Ciri-884)
Sirup merah Varian-885,Warna terlalu cerah (Ciri-885)
Cengkeh Varian-886,Bau deterjen (Ciri-886)
Kopi susu Varian-887,Bau busuk tersembunyi (Ciri-887)
Sawi Varian-888,Bau asam aneh (Ciri-888)
Ikan patin Varian-889,Tidak berlendir setelah lama (Ciri-889)
Air mineral Varian-890,Rasa getir (Ciri-890)
Jus apel Varian-891,Rasa asam mencolok (Ciri-891)
Mangga Varian-892,Bau busuk tersembunyi (Ciri-892)
Daun salam Varian-893,Rasa pahit tidak wajar (Ciri-893)
Cengkeh Varian-894,Bau kimia menyengat (Ciri-894)
Mentimun Varian-895,Tekstur licin tanpa lendir (Ciri-895)
Jus apel Varian-896,Tekstur lembek tak wajar (Ciri-896)
Kunyit Varian-897,Warna belang aneh (Ciri-897)
Bayam Varian-898,Bau deterjen (Ciri-898)
Zucchini Varian-899,Tidak basi setelah 3 hari (Ciri-899)
Air mineral Varian-900,Warna tidak alami (Ciri-900)
Semangka Varian-901,Bau kimia menyengat (Ciri-901)
Manggis Varian-902,Warna neon menyilaukan (Ciri-902)
Jambu Varian-903,Rasa asin berlebih (Ciri-903)
Jambu Varian-904,Tidak basi setelah 3 hari (Ciri-904)
Jeruk Varian-905,Bau kimia menyengat (Ciri-905)
Jambu Varian-906,Tidak basi setelah 3 hari (Ciri-906)
Sirup cocopandan Varian-907,Tidak basi setelah 3 hari (Ciri-907)
Kayu manis Varian-908,Tidak hancur saat diremas (Ciri-908)
Mentimun Varian-909,Tidak basi setelah 3 hari (Ciri-909)
Asparagus Varian-910,Bau busuk tersembunyi (Ciri-910)
Kangkung Varian-911,Warna belang aneh (Ciri-911)
